
Windows PowerShell

Try the new cross-platform PowerShell https://aka.ms/pscore6

PS C:\Users\aziub\Downloads\LatticeBoltzmannDemo> & "C:/Program Files/Python310/python.exe" c:/Users/aziub/Downloads/LatticeBoltzmannDemo/LatticeBoltzmannDemo.py
(18.027763 frames per second)
         666517 function calls (634389 primitive calls) in 5.552 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      236    0.000    0.000    0.000    0.000 artist.py:583(get_url)
      320    0.000    0.000    0.000    0.000 artist.py:597(get_gid)
       12    0.000    0.000    0.000    0.000 artist.py:611(get_snap)
       44    0.000    0.000    0.000    0.000 artist.py:650(get_sketch_params)
       76    0.000    0.000    0.000    0.000 artist.py:706(get_path_effects)
        4    0.000    0.000    0.000    0.000 artist.py:709(get_figure)
       96    0.000    0.000    0.000    0.000 artist.py:713(set_figure)
        2    0.000    0.000    0.261    0.131 artist.py:72(draw_wrapper)
      134    0.000    0.000    0.000    0.000 artist.py:811(get_alpha)
      676    0.000    0.000    0.000    0.000 artist.py:818(get_visible)
      313    0.000    0.000    0.003    0.000 artist.py:82(_stale_axes_callback)
     3761    0.001    0.000    0.001    0.000 artist.py:822(get_animated)
      204    0.000    0.000    0.000    0.000 artist.py:837(get_clip_on)
      204    0.000    0.000    0.000    0.000 artist.py:841(get_clip_box)
      280    0.001    0.000    0.004    0.000 artist.py:876(_set_gc_clip)
      876    0.000    0.000    0.000    0.000 artist.py:886(get_rasterized)
      876    0.000    0.000    0.000    0.000 artist.py:911(get_agg_filter)
       16    0.000    0.000    0.000    0.000 artist.py:952(set_alpha)
       96    0.001    0.000    0.002    0.000 artist.py:99(__init__)
       80    0.000    0.000    0.001    0.000 artist.py:993(set_visible)
        8    0.001    0.000    0.076    0.010 axis.py:1023(_update_ticks)
        8    0.000    0.000    0.047    0.006 axis.py:1066(_get_tick_bboxes)
        8    0.000    0.000    0.046    0.006 axis.py:1068(<listcomp>)
        8    0.000    0.000    0.000    0.000 axis.py:1070(<listcomp>)
        4    0.000    0.000    0.154    0.039 axis.py:1133(draw)
        8    0.000    0.000    0.006    0.001 axis.py:1258(get_majorticklocs)
        8    0.000    0.000    0.007    0.001 axis.py:1262(get_minorticklocs)
        8    0.000    0.000    0.000    0.000 axis.py:1275(<listcomp>)
       16    0.000    0.000    0.001    0.000 axis.py:1310(_get_tick_label_size)
       16    0.000    0.000    0.004    0.000 axis.py:1322(_copy_tick_props)
        8    0.000    0.000    0.051    0.006 axis.py:1352(get_major_ticks)
        8    0.000    0.000    0.000    0.000 axis.py:1365(get_minor_ticks)
       16    0.000    0.000    0.000    0.000 axis.py:149(<dictcomp>)
       12    0.000    0.000    0.000    0.000 axis.py:1494(convert_units)
        4    0.000    0.000    0.018    0.004 axis.py:1852(_get_tick_boxes_siblings)
        4    0.000    0.000    0.000    0.000 axis.py:1860(<listcomp>)
        6    0.000    0.000    0.000    0.000 axis.py:1924(_get_ticks_position)
       18    0.000    0.000    0.000    0.000 axis.py:1940(<genexpr>)
        6    0.000    0.000    0.000    0.000 axis.py:1961(get_label_position)
       64    0.000    0.000    0.002    0.000 axis.py:1987(getter)
       16    0.000    0.000    0.000    0.000 axis.py:200(_set_labelrotation)
        8    0.000    0.000    0.022    0.003 axis.py:2054(_get_tick)
        2    0.000    0.000    0.010    0.005 axis.py:2075(_update_label_position)
        2    0.000    0.000    0.001    0.000 axis.py:2118(_update_offset_text_position)
       16    0.000    0.000    0.000    0.000 axis.py:212(apply_tickdir)
        6    0.000    0.000    0.000    0.000 axis.py:2228(get_ticks_position)
       16    0.000    0.000    0.000    0.000 axis.py:225(get_tick_padding)
        8    0.000    0.000    0.003    0.000 axis.py:2268(get_tick_space)
        8    0.000    0.000    0.025    0.003 axis.py:2327(_get_tick)
        2    0.000    0.000    0.011    0.005 axis.py:2349(_update_label_position)
        2    0.000    0.000    0.000    0.000 axis.py:2391(_update_offset_text_position)
        8    0.000    0.000    0.004    0.000 axis.py:2535(get_tick_space)
       80    0.000    0.000    0.000    0.000 axis.py:290(get_loc)
       32    0.000    0.000    0.026    0.001 axis.py:294(draw)
       80    0.000    0.000    0.001    0.000 axis.py:306(set_label1)
       80    0.000    0.000    0.001    0.000 axis.py:319(set_label2)
       80    0.000    0.000    0.000    0.000 axis.py:343(_set_artist_props)
        8    0.000    0.000    0.022    0.003 axis.py:419(__init__)
        8    0.000    0.000    0.000    0.000 axis.py:448(_get_text1_transform)
        8    0.000    0.000    0.000    0.000 axis.py:451(_get_text2_transform)
        8    0.000    0.000    0.000    0.000 axis.py:454(apply_tickdir)
       48    0.000    0.000    0.001    0.000 axis.py:464(update_position)
        8    0.000    0.000    0.025    0.003 axis.py:486(__init__)
        8    0.000    0.000    0.001    0.000 axis.py:515(_get_text1_transform)
        8    0.000    0.000    0.000    0.000 axis.py:518(_get_text2_transform)
        8    0.000    0.000    0.000    0.000 axis.py:521(apply_tickdir)
       48    0.000    0.000    0.002    0.000 axis.py:531(update_position)
       24    0.000    0.000    0.000    0.000 axis.py:562(locator)
       16    0.001    0.000    0.026    0.002 axis.py:57(__init__)
       36    0.000    0.000    0.000    0.000 axis.py:573(formatter)
        8    0.000    0.000    0.000    0.000 axis.py:704(get_remove_overlapping_locs)
       96    0.000    0.000    0.000    0.000 axis.py:735(get_transform)
        1    0.000    0.000    0.000    0.000 backend_agg.py:107(_update_methods)
       12    0.000    0.000    0.002    0.000 backend_agg.py:133(draw_path)
       32    0.000    0.000    0.007    0.000 backend_agg.py:190(draw_text)
       32    0.000    0.000    0.032    0.001 backend_agg.py:217(get_text_width_height_descent)
       32    0.000    0.000    0.000    0.000 backend_agg.py:265(get_canvas_width_height)
       64    0.000    0.000    0.027    0.000 backend_agg.py:269(_get_agg_font)
       64    0.000    0.000    0.000    0.000 backend_agg.py:282(points_to_pixels)
      102    0.000    0.000    0.000    0.000 backend_agg.py:286(buffer_rgba)
        1    0.000    0.000    0.000    0.000 backend_agg.py:295(clear)
        4    0.000    0.000    0.000    0.000 backend_agg.py:298(option_image_nocomposite)
      204    0.000    0.000    0.000    0.000 backend_agg.py:306(option_scale_image)
      100    0.000    0.000    0.011    0.000 backend_agg.py:310(restore_region)
