
Windows PowerShell

Try the new cross-platform PowerShell https://aka.ms/pscore6

PS C:\Users\aziub\Downloads\LatticeBoltzmannDemo> & "C:/Program Files/Python310/python.exe" c:/Users/aziub/Downloads/LatticeBoltzmannDemo/LatticeBoltzmannDemo.py
(18.027763 frames per second)
         668688 function calls (636552 primitive calls) in 5.554 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.027    0.003 axis.py:486(__init__)
      384    0.000    0.000    0.001    0.000 font_manager.py:1304(<genexpr>)
       48    0.000    0.000    0.001    0.000 axis.py:531(update_position)
       53    0.000    0.000    0.001    0.000 path.py:98(__init__)
       48    0.000    0.000    0.001    0.000 stride_tricks.py:478(broadcast_arrays)
      204    0.000    0.000    0.001    0.000 core.py:215(_get_dtype_of)
       24    0.000    0.000    0.001    0.000 patches.py:546(_bind_draw_path_function)
      112    0.000    0.000    0.000    0.000 font_manager.py:831(set_stretch)
      100    0.000    0.000    0.011    0.000 backend_agg.py:310(restore_region)
       64    0.000    0.000    0.000    0.000 backend_agg.py:50(get_hinting_flag)
     1606    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      102    0.000    0.000    0.000    0.000 backend_agg.py:286(buffer_rgba)
      876    0.000    0.000    0.000    0.000 artist.py:886(get_rasterized)
      102    0.000    0.000    0.002    0.000 _ufunc_config.py:429(__enter__)
       10    0.000    0.000    0.001    0.000 __init__.py:1576(_substitute)
      705    0.000    0.000    0.000    0.000 __init__.py:1715(isEnabledFor)
       96    0.000    0.000    0.000    0.000 __init__.py:170(__init__)
       64    0.000    0.000    0.004    0.000 text.py:173(update)
      242    0.000    0.000    0.000    0.000 _methods.py:101(_clip_dep_is_byte_swapped)
      408    0.000    0.000    0.000    0.000 image.py:286(_get_scalar_alpha)
        1    0.000    0.000    0.000    0.000 linalg.py:476(inv)
      209    0.000    0.000    0.001    0.000 __init__.py:1325(_to_unmasked_float_array)
      211    0.000    0.000    0.004    0.000 _methods.py:54(_any)
      103    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
      204    0.000    0.000    0.000    0.000 animation.py:1794(<lambda>)
      280    0.000    0.000    0.000    0.000 backend_bases.py:834(get_dashes)
      204    0.000    0.000    0.001    0.000 core.py:282(_scalar_fill_value)
       53    0.000    0.000    0.000    0.000 __init__.py:133(check_shape)
        8    0.000    0.000    0.003    0.000 axis.py:2535(get_tick_space)
      938    0.000    0.000    0.000    0.000 fromnumeric.py:2758(_amin_dispatcher)
      100    0.000    0.000    0.000    0.000 animation.py:1240(<setcomp>)
      102    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(ones_like)
      102    0.000    0.000    0.002    0.000 core.py:3601(shrink_mask)
      204    0.000    0.000    0.001    0.000 core.py:3504(mask)
      876    0.000    0.000    0.000    0.000 artist.py:911(get_agg_filter)
      131    0.000    0.000    0.000    0.000 {method 'getint' of '_tkinter.tkapp' objects}
       28    0.000    0.000    0.001    0.000 transforms.py:1956(rotate)
      317    0.000    0.000    0.002    0.000 figure.py:50(_stale_figure_callback)
       48    0.000    0.000    0.001    0.000 lines.py:1290(update_from)
      319    0.000    0.000    0.001    0.000 __init__.py:1116(is_interactive)
      100    0.000    0.000    0.000    0.000 backend_bases.py:1151(interval)
      240    0.000    0.000    0.000    0.000 lines.py:1245(set_xdata)
        2    0.000    0.000    0.000    0.000 {built-in method nt._getfinalpathname}
      112    0.000    0.000    0.000    0.000 font_manager.py:794(set_style)
       16    0.000    0.000    0.000    0.000 ticker.py:2020(scale_range)
      204    0.000    0.000    0.002    0.000 core.py:200(_recursive_fill_value)
        8    0.000    0.000    0.000    0.000 _base.py:2763(_get_axis_map)
       80    0.000    0.000    0.016    0.000 artist.py:1152(set)
      408    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      194    0.000    0.000    0.002    0.000 {method 'max' of 'numpy.ndarray' objects}
       96    0.000    0.000    0.000    0.000 __init__.py:1312(is_math_text)
       20    0.000    0.000    0.001    0.000 transforms.py:487(transformed)
      204    0.000    0.000    0.000    0.000 core.py:778(is_string_or_list_of_strings)
      964    0.000    0.000    0.000    0.000 _base.py:771(<genexpr>)
      258    0.000    0.000    0.008    0.000 inspect.py:3172(bind)
      240    0.000    0.000    0.000    0.000 lines.py:1257(set_ydata)
      983    0.000    0.000    0.000    0.000 font_manager.py:739(get_weight)
       35    0.000    0.000    0.001    0.000 transforms.py:1758(__eq__)
      104    0.000    0.000    0.001    0.000 transforms.py:1813(frozen)
      103    0.000    0.000    0.000    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
      232    0.000    0.000    0.000    0.000 {built-in method math.floor}
      103    0.000    0.000    0.001    0.000 __init__.py:668(deletecommand)
       76    0.000    0.000    0.000    0.000 path.py:161(_fast_from_codes_and_verts)
      204    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.generic' objects}
       55    0.000    0.000    0.002    0.000 transforms.py:829(from_extents)
      204    0.000    0.000    0.001    0.000 core.py:3731(filled)
      776    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      128    0.000    0.000    0.004    0.000 markers.py:220(__init__)
      983    0.000    0.000    0.000    0.000 font_manager.py:714(get_family)
      280    0.000    0.000    0.000    0.000 backend_bases.py:819(get_clip_path)
      101    0.000    0.000    0.022    0.000 animation.py:1216(_pre_draw)
      102    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
    72/40    0.000    0.000    0.001    0.000 _base.py:907(get_yaxis_transform)
       48    0.000    0.000    0.001    0.000 axis.py:464(update_position)
